"id","fqdn/ip","port","severity","finding","cve","cwe"
"HSTS_time","search.judilibre.io/51.159.85.176","443","OK","182 days (=15724800 seconds) > 15552000 seconds","",""
"HSTS_subdomains","search.judilibre.io/51.159.85.176","443","OK","includes subdomains","",""
"HSTS_preload","search.judilibre.io/51.159.85.176","443","INFO","domain is NOT marked for preloading","",""
"HPKP","search.judilibre.io/51.159.85.176","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","search.judilibre.io/51.159.85.176","443","INFO","No Server banner line in header, interesting!","",""
"banner_application","search.judilibre.io/51.159.85.176","443","INFO","X-Powered-By: Express","",""
"cookie_count","search.judilibre.io/51.159.85.176","443","INFO","0 at '/' (30x detected, better try target URL of 30x)","",""
"X-Frame-Options","search.judilibre.io/51.159.85.176","443","OK","deny","",""
"X-Content-Type-Options","search.judilibre.io/51.159.85.176","443","OK","nosniff","",""
"Content-Security-Policy","search.judilibre.io/51.159.85.176","443","OK","default-src 'none'","",""
"Access-Control-Allow-Origin","search.judilibre.io/51.159.85.176","443","INFO","*","",""
"banner_reverseproxy","search.judilibre.io/51.159.85.176","443","INFO","--","","CWE-200"
"heartbleed","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","search.judilibre.io/51.159.85.176","443","OK","no session ticket extension","CVE-2016-9244","CWE-200"
"ROBOT","search.judilibre.io/51.159.85.176","443","OK","not vulnerable, no RSA key transport cipher","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","search.judilibre.io/51.159.85.176","443","OK","supported","","CWE-310"
"secure_client_renego","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","search.judilibre.io/51.159.85.176","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
